identifier,lookup_type,class,location_type,location,sha1,stimulus_set_identifier,lookup_source
brendel.Geirhos2021_colour,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_colour.nc,258862d82467614e45cc1e488a5ac909eb6e122d,brendel.Geirhos2021_colour,brainio_brainscore
brendel.Geirhos2021_colour,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_colour.csv,9c97c155fd6039a95978be89eb604c6894c5fa16,,brainio_brainscore
brendel.Geirhos2021_colour,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_colour.zip,d166f1d3dc3d00c4f51a489e6fcf96dbbe778d2c,,brainio_brainscore
brendel.Geirhos2021_contrast,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_contrast.nc,1e114c987dc035ccca43781ff8cee9689acd3c3f,brendel.Geirhos2021_contrast,brainio_brainscore
brendel.Geirhos2021_contrast,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_contrast.csv,f6ef69a2e8937e1d0d83c8a21b325b4273494cb5,,brainio_brainscore
brendel.Geirhos2021_contrast,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_contrast.zip,ebeeef2f9c6a7282e20ef2026dc77eefa026957b,,brainio_brainscore
brendel.Geirhos2021_cue-conflict,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_cue-conflict.nc,cc214e3595d34565b13963c5f56049769a39a5c9,brendel.Geirhos2021_cue-conflict,brainio_brainscore
brendel.Geirhos2021_cue-conflict,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_cue-conflict.csv,8d3ae89d8870fb7d7c5d5ff387085b1f0116e2b7,,brainio_brainscore
brendel.Geirhos2021_cue-conflict,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_cue-conflict.zip,7e601186b181102939cd0b43a4e8a3ca95c18259,,brainio_brainscore
brendel.Geirhos2021_edge,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_edge.nc,ab1dc9e188e248da07215b375eb3dbcc58fde7fb,brendel.Geirhos2021_edge,brainio_brainscore
brendel.Geirhos2021_edge,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_edge.csv,fb57005ecb80e4e37b01e084f1f176fe7f59ff7f,,brainio_brainscore
brendel.Geirhos2021_edge,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_edge.zip,6c1199d90836a26be454aa799864a63c5efacaa1,,brainio_brainscore
brendel.Geirhos2021_eidolonI,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_eidolonI.nc,0f01f351ae19eafc2cb5e504d98e5cd01b4c07b4,brendel.Geirhos2021_eidolonI,brainio_brainscore
brendel.Geirhos2021_eidolonI,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_eidolonI.csv,049adbed36fed52c609d38d5230e6084336df6b9,,brainio_brainscore
brendel.Geirhos2021_eidolonI,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_eidolonI.zip,abaa45a225628dd66e424ec7d8e2b10a0c88bc0d,,brainio_brainscore
brendel.Geirhos2021_eidolonII,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_eidolonII.nc,499eea0f0c0817d02b5b97d2ebab89bc4c40a153,brendel.Geirhos2021_eidolonII,brainio_brainscore
brendel.Geirhos2021_eidolonII,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_eidolonII.csv,1806ada128c260ab54db570d2e73aea71d679754,,brainio_brainscore
brendel.Geirhos2021_eidolonII,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_eidolonII.zip,2654ba55291f8ab972f18b36565f9ead80a45339,,brainio_brainscore
brendel.Geirhos2021_eidolonIII,assembly,BehavioralAssembly,S3,https://brainio-brainscore.s3.amazonaws.com/assy_brendel_Geirhos2021_eidolonIII.nc,e7c9a49e729f8666f8aedc6e47c746fbbe2ebe36,brendel.Geirhos2021_eidolonIII,brainio_brainscore
brendel.Geirhos2021_eidolonIII,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_eidolonIII.csv,ba0173b315f02df16d418dc3ff1df7dc498b4893,,brainio_brainscore
brendel.Geirhos2021_eidolonIII,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_eidolonIII.zip,d0304c0c0024d0f493ea9c0c47ae0221da391016,,brainio_brainscore
